date,capital,position
2004-06-11,10000.0,0
2004-06-14,10000.0,0
2004-06-15,10000.0,0
2004-06-16,10000.0,0
2004-06-17,10000.0,0
2004-06-18,10000.0,0
2004-06-21,10000.0,0
2004-06-22,10000.0,0
2004-06-23,10000.0,0
2004-06-24,10000.0,0
2004-06-25,10000.0,0
2004-06-28,10000.0,0
2004-06-29,10000.0,0
2004-06-30,10000.0,0
2004-07-01,10000.0,0
2004-07-02,10000.0,0
2004-07-06,10000.0,0
2004-07-07,10000.0,0
2004-07-08,10000.0,0
2004-07-09,10000.0,0
2004-07-12,10000.0,0
2004-07-13,10000.0,0
2004-07-14,10000.0,0
2004-07-15,10000.0,0
2004-07-16,10000.0,0
2004-07-19,10000.0,0
2004-07-20,10000.0,0
2004-07-21,10000.0,0
2004-07-22,10000.0,0
2004-07-23,10000.0,0
2004-07-26,10000.0,0
2004-07-27,10000.0,0
2004-07-28,10000.0,0
2004-07-29,10000.0,0
2004-07-30,10000.0,0
2004-08-02,10000.0,0
2004-08-03,10000.0,0
2004-08-04,10000.0,0
2004-08-05,10000.0,0
2004-08-06,10000.0,0
2004-08-09,10000.0,0
2004-08-10,10000.0,0
2004-08-11,10000.0,0
2004-08-12,10000.0,0
2004-08-13,10000.0,0
2004-08-16,10000.0,0
2004-08-17,10000.0,0
2004-08-18,10000.0,0
2004-08-19,10000.0,0
2004-08-20,10000.0,0
2004-08-23,10000.0,0
2004-08-24,10000.0,0
2004-08-25,10000.0,0
2004-08-26,10000.0,0
2004-08-27,10000.0,0
2004-08-30,10000.0,0
2004-08-31,10000.0,0
2004-09-01,10000.0,0
2004-09-02,10000.0,0
2004-09-03,10000.0,0
2004-09-07,10000.0,0
2004-09-08,10000.0,0
2004-09-09,10000.0,0
2004-09-10,10000.0,0
2004-09-13,10000.0,0
2004-09-14,10000.0,0
2004-09-15,10000.0,0
2004-09-16,10000.0,0
2004-09-17,10000.0,0
2004-09-20,10000.0,0
2004-09-21,10000.0,0
2004-09-22,10000.0,0
2004-09-23,10000.0,0
2004-09-24,10000.0,0
2004-09-27,10000.0,0
2004-09-28,10000.0,0
2004-09-29,10000.0,0
2004-09-30,10000.0,0
2004-10-01,10000.0,0
2004-10-04,10000.0,0
2004-10-05,10000.0,0
2004-10-06,10000.0,0
2004-10-07,10000.0,0
2004-10-08,10000.0,0
2004-10-11,10000.0,0
2004-10-12,10000.0,0
2004-10-13,10000.0,0
2004-10-14,10000.0,0
2004-10-15,10000.0,0
2004-10-18,10000.0,0
2004-10-19,10000.0,0
2004-10-20,10000.0,0
2004-10-21,10000.0,0
2004-10-22,10000.0,0
2004-10-25,10000.0,0
2004-10-26,10000.0,0
2004-10-27,10000.0,0
2004-10-28,10000.0,0
