entry_date,exit_date,position,entry_price,exit_price,position_size,pnl,balance,return_pct,close_reason,confidence
0,5,long,384.1,394.3,5.206977349648529,53.11116896641494,553.1111689664149,10.622233793282987,take_profit,0.52309763
5,9,long,394.3,401.1,5.611069429027795,38.15527211738907,591.2664410838039,7.6310544234778135,take_profit,0.52215564
9,12,long,401.1,391.3,5.896449175605125,-57.78520192093029,533.4812391628736,-11.557040384186058,stop_loss,0.5243988
12,15,long,391.3,397.8,5.453424371713505,35.447258416137785,568.9284975790114,7.089451683227558,take_profit,0.52309763
15,16,long,397.8,392.1,5.720749095817108,-32.60826984615745,536.3202277328539,-6.5216539692314885,stop_loss,0.5250483
16,17,long,392.1,401.8,5.471259655525161,53.071218658594,589.391446391448,10.614243731718801,take_profit,0.52309763
17,27,long,401.8,396.1,5.867510665917849,-33.44481079573168,555.9466355957163,-6.688962159146334,stop_loss,0.5270449
27,29,long,396.1,389.3,5.61420485327661,-38.17659300228102,517.7700425934353,-7.635318600456204,stop_loss,0.52800614
29,39,long,389.3,398.8,5.320010712493556,50.54010176868878,568.3101443621241,10.108020353737755,take_profit,0.5287747
39,42,long,398.8,394.6,5.700202049770552,-23.940848609036255,544.3692957530878,-4.788169721807251,stop_loss,0.52800614
42,45,long,394.6,401.3,5.518188502312091,36.97186296549095,581.3411587185788,7.394372593098191,take_profit,0.52309763
45,49,long,401.3,412.2,5.794579204770284,63.160913331995964,644.5020720505747,12.632182666399192,take_profit,0.52654445
49,51,long,412.2,401.6,6.254265619122511,-66.2952155626984,578.2068564878763,-13.25904311253968,stop_loss,0.5243988
51,55,long,401.6,408.1,5.759032435138209,37.43371082839836,615.6405673162747,7.486742165679672,take_profit,0.52309763
55,59,long,408.1,399.8,6.034212862693209,-50.0839667603537,565.5566005559209,-10.016793352070739,stop_loss,0.52800614
59,70,long,399.8,409.3,5.658395203160789,53.754754430027496,619.3113549859484,10.7509508860055,take_profit,0.52800614
70,77,long,409.3,417.8,6.0523953577908465,51.44536054122219,670.7567155271705,10.289072108244438,take_profit,0.52800614
77,94,long,417.8,427.8,6.4217971807292535,64.21797180729254,734.974687334463,12.843594361458507,take_profit,0.5270449
94,96,long,427.8,423.8,6.872133588915036,-27.488534355660143,707.4861529788029,-5.497706871132029,stop_loss,0.5278949
96,103,long,423.8,433.1,6.677547456147266,62.10119134216965,769.5873443209725,12.420238268433929,take_profit,0.52800614
103,111,long,433.1,444.1,7.107710407028146,78.18481447730962,847.7721587982821,15.636962895461922,take_profit,0.5270449
111,117,long,444.1,451.3,7.635867226284911,54.97824402925127,902.7504028275334,10.995648805850253,take_profit,0.5270449
117,124,long,451.3,439.7,8.001333062951769,-92.8154635302407,809.9349392972928,-18.56309270604814,stop_loss,0.5270449
124,126,long,439.7,433.7,7.368068585829364,-44.208411514976184,765.7265277823166,-8.841682302995236,stop_loss,0.52309763
126,129,long,433.7,440.8,7.062269105670432,50.14211065026023,815.8686384325767,10.028422130052046,take_profit,0.529114
129,130,long,440.8,436.6,7.403526664542438,-31.094811991078156,784.7738264414986,-6.2189623982156315,stop_loss,0.5257656
130,136,long,436.6,443.8,7.189865565199254,51.76703206943454,836.5408585109332,10.353406413886908,take_profit,0.53080297
136,138,long,443.8,435.8,7.539800437232385,-60.31840349785908,776.2224550130741,-12.063680699571815,stop_loss,0.52800614
138,140,long,435.8,428.5,7.12457508043207,-52.00939808715419,724.2130569259199,-10.401879617430838,stop_loss,0.52800614
140,143,long,428.5,420.8,6.760448606076265,-52.055454266787166,672.1576026591327,-10.411090853357432,stop_loss,0.5243988
143,163,long,420.8,416.8,6.389330823756015,-25.55732329502406,646.6002793641087,-5.111464659004811,stop_loss,0.5243988
163,165,long,416.8,413.0,6.205376961267838,-23.580432452817856,623.0198469112909,-4.716086490563571,stop_loss,0.5296349
165,169,long,413.0,420.3,6.034090526985868,44.04886084699691,667.0687077582878,8.809772169399382,take_profit,0.5243988
169,174,long,420.3,426.8,6.348500668648944,41.265254346218136,708.333962104506,8.253050869243628,take_profit,0.5296349
174,175,long,426.8,434.8,6.638556345871659,53.10845076697327,761.4424128714793,10.621690153394654,take_profit,0.52800614
175,182,long,434.8,429.2,7.004989998817656,-39.227943993379036,722.2144688781002,-7.845588798675807,stop_loss,0.5278949
182,185,long,429.2,440.0,6.7307965412684085,72.69260264569888,794.9070715237991,14.538520529139776,take_profit,0.52800614
185,194,long,440.0,430.8,7.226427922943628,-66.4831368910813,728.4239346327179,-13.296627378216261,stop_loss,0.5270449
194,195,long,430.8,426.3,6.763453432058662,-30.435540444263978,697.9883941884539,-6.087108088852795,stop_loss,0.5257656
195,214,long,426.3,433.1,6.5492694739709485,44.53503242300253,742.5234266114564,8.907006484600505,take_profit,0.5243988
214,223,long,433.1,428.7,6.857755036817884,-30.174122161998923,712.3493044494576,-6.034824432399785,stop_loss,0.5296349
223,231,long,428.7,420.8,6.646599528336437,-52.5081362738577,659.8411681755999,-10.501627254771542,stop_loss,0.5257656
231,237,long,420.8,417.1,6.272254450338402,-23.207341466252018,636.6338267093479,-4.641468293250404,stop_loss,0.52215564
237,247,long,417.1,425.6,6.105335187814412,51.89534909642251,688.5291758057704,10.379069819284501,take_profit,0.5270449
247,255,long,425.6,435.1,6.471138870354984,61.47581926837235,750.0049950741427,12.295163853674469,take_profit,0.5279866
255,266,long,435.1,426.8,6.895012595487406,-57.228604542545554,692.7763905315971,-11.445720908509111,stop_loss,0.5270449
266,268,long,426.8,423.2,6.492749676959673,-23.37389883705497,669.4024916945422,-4.674779767410994,stop_loss,0.52800614
268,275,long,423.2,419.2,6.327055687093972,-25.308222748375886,644.0942689461663,-5.061644549675178,stop_loss,0.5243988
275,285,long,419.2,427.6,6.145937680784029,51.625876518586054,695.7201454647524,10.325175303717211,take_profit,0.5270449
285,289,long,427.6,436.2,6.508139807902267,55.97000234795927,751.6901478127116,11.194000469591854,take_profit,0.52800614
289,295,long,436.2,445.3,6.893077925838713,62.72700912513245,814.4171569378441,12.54540182502649,take_profit,0.5243988
295,299,long,445.3,440.3,7.315671744332756,-36.57835872166378,777.8387982161803,-7.315671744332756,stop_loss,0.5270449
299,301,long,440.3,435.8,7.066443772120648,-31.798996974542916,746.0398012416374,-6.359799394908583,stop_loss,0.5279866
301,308,long,435.8,431.2,6.847542920987952,-31.498697436544738,714.5411038050927,-6.299739487308948,stop_loss,0.52800614
308,310,long,431.2,442.8,6.62839613919381,76.88939521464835,791.4304990197411,15.377879042929669,take_profit,0.5296349
310,318,long,442.8,450.3,7.149327001081672,53.61995250811254,845.0504515278536,10.723990501622508,take_profit,0.5296349
318,320,long,450.3,459.3,7.506555199003807,67.55899679103426,912.6094483188879,13.511799358206853,take_profit,0.5270449
320,323,long,459.3,471.6,7.947828855378949,97.75829492116117,1010.3677432400491,19.551658984232233,take_profit,0.5243988
323,324,long,471.6,465.2,8.569700960475396,-54.846086147042826,955.5216570930063,-10.969217229408565,stop_loss,0.5243988
324,334,long,465.2,473.3,8.216007369673314,66.54965969435402,1022.0713167873603,13.309931938870804,take_profit,0.5279866
334,340,long,473.3,469.2,8.637830693322293,-35.4151058426216,986.6562109447386,-7.08302116852432,stop_loss,0.5270449
340,343,long,469.2,464.0,8.411391397653356,-43.739235267797355,942.9169756769413,-8.747847053559472,stop_loss,0.52800614
343,347,long,464.0,472.1,8.128594617904666,65.84161640502798,1008.7585920819693,13.168323281005595,take_profit,0.52800614
347,351,long,472.1,465.2,8.546990824672479,-58.974236690240396,949.7843553917288,-11.79484733804808,stop_loss,0.528236
351,352,long,465.2,459.0,8.166675454787006,-50.63338781967934,899.1509675720495,-10.126677563935868,stop_loss,0.52800614
352,358,long,459.0,466.1,7.8357382794949855,55.633741784414575,954.7847093564641,11.126748356882915,take_profit,0.5279866
358,363,long,466.1,478.7,8.193818574181199,103.24211403468283,1058.026823391147,20.648422806936566,take_profit,0.5296349
363,366,long,478.7,490.8,8.840834120669706,106.97409286010365,1165.0009162512506,21.39481857202073,take_profit,0.5270449
366,369,long,490.8,498.3,9.494709993897724,71.21032495423293,1236.2112412054835,14.242064990846586,take_profit,0.5243988
369,373,long,498.3,508.5,9.92342959025072,101.21898182055723,1337.4302230260407,20.243796364111446,take_profit,0.5247691
373,376,long,508.5,520.2,10.520591724885277,123.09092318115822,1460.5211462071989,24.618184636231643,take_profit,0.5278949
376,380,long,520.2,505.1,11.23045864057823,-169.5799254727315,1290.9412207344674,-33.9159850945463,stop_loss,0.5317518
380,384,long,505.1,492.1,10.223252589463213,-132.90228366302176,1158.0389370714456,-26.58045673260435,stop_loss,0.528236
384,386,long,492.1,504.0,9.413037488896123,112.01514611786365,1270.0540831893093,22.40302922357273,take_profit,0.5243988
386,389,long,504.0,516.5,10.079794311026264,125.9974288878283,1396.0515120771377,25.199485777565663,take_profit,0.52309763
389,393,long,516.5,533.6,10.811628360713554,184.87884496820203,1580.9303570453396,36.97576899364041,take_profit,0.5278949
393,395,long,533.6,524.7,11.851052151764165,-105.4743641507008,1475.455992894639,-21.09487283014016,stop_loss,0.5243988
395,396,long,524.7,539.2,11.247996896471422,163.09595499883562,1638.5519478934746,32.61919099976712,take_profit,0.5279866
396,397,long,539.2,547.7,12.155429880515388,103.3211539843808,1741.8731018778553,20.66423079687616,take_profit,0.5243988
397,398,long,547.7,542.0,12.721366455197046,-72.51178879462374,1669.3613130832316,-14.502357758924747,stop_loss,0.5247691
398,401,long,542.0,556.7,12.320009690651155,181.10414245257255,1850.4654555358043,36.22082849051451,take_profit,0.5279866
401,403,long,556.7,542.5,13.295961598963926,-188.80265470528835,1661.6628008305158,-37.76053094105767,stop_loss,0.5250483
403,404,long,542.5,557.2,12.251891619026846,180.1028067996952,1841.765607630211,36.02056135993904,take_profit,0.5279866
404,411,long,557.2,568.1,13.22157650847244,144.1151839423493,1985.8807915725602,28.823036788469857,take_profit,0.5279866
411,417,long,568.1,548.7,13.982614269125577,-271.2627168210359,1714.6180747515243,-54.252543364207185,stop_loss,0.5270449
417,419,long,548.7,564.7,12.499493892848726,199.9919022855796,1914.6099770371038,39.99838045711592,take_profit,0.5279866
419,420,long,564.7,550.5,13.56196194111637,-192.5798595638531,1722.0301174732508,-38.51597191277062,stop_loss,0.5254398
420,421,long,550.5,540.0,12.512480417607636,-131.38104438488017,1590.6490730883706,-26.276208876976032,stop_loss,0.529114
421,424,long,540.0,548.7,11.782585726580523,102.50849582125109,1693.1575689096217,20.501699164250216,take_profit,0.5279866
424,429,long,548.7,558.5,12.343047704826839,120.96186750730246,1814.1194364169241,24.19237350146049,take_profit,0.5279866
429,430,long,558.5,553.1,12.992798112207156,-70.16110980591834,1743.9583266110058,-14.03222196118367,stop_loss,0.52309763
430,431,long,553.1,562.0,12.612246079269614,112.24899010549927,1856.207316716505,22.449798021099852,take_profit,0.53324497
431,435,long,562.0,554.5,13.211439976629928,-99.08579982472446,1757.1215168917804,-19.817159964944892,stop_loss,0.53324497
435,437,long,554.5,542.5,12.675358102014645,-152.10429722417575,1605.0172196676046,-30.420859444835152,stop_loss,0.528236
437,442,long,542.5,552.6,11.834228347779575,119.52570631257397,1724.5429259801786,23.905141262514796,take_profit,0.5279866
442,450,long,552.6,566.7,12.483119261528618,176.0119815875538,1900.5549075677322,35.20239631751076,take_profit,0.528236
450,453,long,566.7,588.0,13.414892589149336,285.73721214888025,2186.2921197166124,57.14744242977605,take_profit,0.5279866
453,460,long,588.0,599.7,14.872735508276275,174.01100544683308,2360.3031251634457,34.80220108936662,take_profit,0.5243988
460,461,long,599.7,593.2,15.743225780646627,-102.33096757420307,2257.9721575892427,-20.466193514840615,stop_loss,0.5279866
461,464,long,593.2,613.5,15.225705715369134,309.08182602199275,2567.0539836112353,61.81636520439855,take_profit,0.5279866
464,466,long,613.5,639.0,16.737108287603817,426.79626133389735,2993.8502449451325,85.35925226677948,take_profit,0.5247691
466,467,long,639.0,613.2,18.740846603725398,-483.51384237611444,2510.336402569018,-96.70276847522288,stop_loss,0.5243988
467,468,long,613.2,633.5,16.375318999145584,332.4189756826546,2842.7553782516725,66.48379513653092,take_profit,0.5279866
468,469,long,633.5,619.6,17.949520936080017,-249.49834101151183,2593.2570372401606,-49.899668202302365,stop_loss,0.5247691
469,470,long,619.6,630.2,16.74149152511401,177.45981016620888,2770.7168474063697,35.49196203324178,take_profit,0.5279866
470,473,long,630.2,653.7,17.58627005653043,413.2773463284651,3183.994193734835,82.65546926569303,take_profit,0.5279866
473,475,long,653.7,668.7,19.482907717514667,292.24361576272,3476.2378094975547,58.448723152544005,take_profit,0.5250483
475,477,long,668.7,679.7,20.79400514130435,228.73405655434786,3704.9718660519025,45.746811310869575,take_profit,0.5243988
477,480,long,679.7,699.7,21.803571375912327,436.07142751824654,4141.043293570149,87.21428550364931,take_profit,0.5243988
480,482,long,699.7,713.7,23.67325021334943,331.425502986892,4472.468796557041,66.2851005973784,take_profit,0.5317518
482,484,long,713.7,679.5,25.066379692066924,-857.27018546869,3615.198611088351,-171.45403709373798,stop_loss,0.5317518
484,488,long,679.5,657.2,21.281522361079325,-474.57794865206796,3140.620662436283,-94.9155897304136,stop_loss,0.5279866
488,491,long,657.2,642.1,19.115159235765567,-288.6389044600605,2851.9817579762225,-57.72778089201209,stop_loss,0.5287747
491,494,long,642.1,652.5,17.76658936599422,184.7725294063395,3036.754287382562,36.9545058812679,take_profit,0.5279866
494,495,long,652.5,642.7,18.616118236827965,-182.4379587209132,2854.3163286616486,-36.48759174418264,stop_loss,0.5279866
495,496,long,642.7,628.5,17.76453293083335,-252.2563676178344,2602.0599610438144,-50.451273523566876,stop_loss,0.5279866
496,501,long,628.5,613.2,16.56044525723987,-253.37481243576926,2348.685148608045,-50.67496248715385,stop_loss,0.5317518
501,502,long,613.2,607.1,15.320842456673482,-93.45713898570858,2255.2280096223362,-18.691427797141717,stop_loss,0.5317518
502,504,long,607.1,565.5,14.859021641392431,-618.1353002819254,1637.0927093404107,-123.62706005638509,stop_loss,0.5250483
504,505,long,565.5,558.2,11.579789279154099,-84.53246173782439,1552.5602476025863,-16.90649234756488,stop_loss,0.5247691
505,506,long,558.2,576.2,11.12547651452946,200.25857726153026,1752.8188248641166,40.051715452306055,take_profit,0.5247691
506,508,long,576.2,565.5,12.168127906033435,-130.1989685945583,1622.6198562695583,-26.039793718911657,stop_loss,0.5317518
508,509,long,565.5,575.0,11.47741719730899,109.0354633744354,1731.6553196439938,21.80709267488708,take_profit,0.5317518
509,510,long,575.0,586.5,12.046297875784303,138.5324255715195,1870.1877452155134,27.7064851143039,take_profit,0.5317518
510,511,long,586.5,580.6,12.754903633183382,-75.25393143578167,1794.9338137797317,-15.050786287156335,stop_loss,0.5279866
511,516,long,580.6,598.7,12.36606141081455,223.82571153574364,2018.7595253154755,44.76514230714873,take_profit,0.5279866
516,517,long,598.7,615.2,13.48762001212945,222.54573020013592,2241.3052555156114,44.50914604002719,take_profit,0.5306706
517,520,long,615.2,627.1,14.57285601765677,173.41698661011523,2414.7222421257266,34.68339732202305,take_profit,0.5243988
520,524,long,627.1,640.2,15.402470050235857,201.77235765809007,2616.4945997838167,40.35447153161801,take_profit,0.5247691
524,525,long,640.2,650.2,16.347982504116317,163.47982504116317,2779.97442482498,32.69596500823263,take_profit,0.5317518
525,526,long,650.2,663.8,17.102272684250874,232.59090850581032,3012.56533333079,46.518181701162064,take_profit,0.5317518
526,528,long,663.8,642.6,18.153451842909252,-384.8531790696749,2627.7121542611153,-76.97063581393499,stop_loss,0.5247691
528,529,long,642.6,630.5,16.356751660511147,-197.91669509218525,2429.79545916893,-39.58333901843705,stop_loss,0.5279866
529,530,long,630.5,642.2,15.415038599009865,180.35595160841612,2610.151410777346,36.07119032168322,take_profit,0.5279866
530,531,long,642.2,628.6,16.25756095158733,-221.10282894158806,2389.048581835758,-44.220565788317614,stop_loss,0.5279866
531,532,long,628.6,619.2,15.20234541416327,-142.90204689313438,2246.1465349426235,-28.580409378626875,stop_loss,0.5254398
532,536,long,619.2,634.1,14.509990535805061,216.1988589834951,2462.3453939261185,43.23977179669902,take_profit,0.5254398
536,539,long,634.1,647.5,15.53285219319425,208.1402193888026,2670.485613314921,41.62804387776052,take_profit,0.5254398
539,544,long,647.5,642.0,16.497208422022677,-90.73464632112473,2579.7509669937963,-18.146929264224944,stop_loss,0.5287747
544,547,long,642.0,632.0,16.0732147476249,-160.732147476249,2419.0188195175474,-32.1464294952498,stop_loss,0.5264658
547,548,long,632.0,626.2,15.310245693149033,-88.7994250202637,2330.2193944972837,-17.759885004052737,stop_loss,0.5254398
548,551,long,626.2,613.2,14.884825260282872,-193.50272838367732,2136.716666113606,-38.700545676735466,stop_loss,0.5279866
551,553,long,613.2,627.5,13.938138722202257,199.31538372749165,2336.032049841098,39.86307674549833,take_profit,0.5279866
553,555,long,627.5,621.1,14.891040955162376,-95.30266211303886,2240.729387728059,-19.060532422607775,stop_loss,0.528236
555,558,long,621.1,613.7,14.430715747725383,-106.7872965331675,2133.9420911948914,-21.3574593066335,stop_loss,0.5279866
558,561,long,613.7,624.6,13.908698655335774,151.60481534315963,2285.546906538051,30.320963068631922,take_profit,0.5270449
561,563,long,624.6,638.1,14.636867797233757,197.59771526265573,2483.144621800707,39.51954305253115,take_profit,0.52800614
563,565,long,638.1,616.7,15.565865048116011,-333.10951202968226,2150.0351097710245,-66.62190240593645,stop_loss,0.5243988
565,566,long,616.7,610.2,13.945419878521319,-90.64522921038858,2059.389880560636,-18.129045842077716,stop_loss,0.5254398
566,567,long,610.2,588.7,13.499769784074964,-290.2450503576117,1769.1448302030242,-58.049010071522346,stop_loss,0.529114
567,570,long,588.7,575.0,12.020688501464406,-164.6834324700629,1604.4613977329614,-32.936686494012584,stop_loss,0.5287747
570,572,long,575.0,586.7,11.161470592924948,130.5892059372224,1735.0506036701838,26.11784118744448,take_profit,0.5243988
572,573,long,586.7,571.7,11.829218364889611,-177.43827547334416,1557.6123281968396,-35.48765509466884,stop_loss,0.5279866
573,575,long,571.7,583.7,10.898109695272622,130.77731634327145,1688.389644540111,26.155463268654287,take_profit,0.5279866
575,579,long,583.7,600.7,11.570256258626767,196.69435639665502,1885.084000936766,39.33887127933101,take_profit,0.52825594
579,581,long,600.7,594.7,12.552581993918865,-75.3154919635132,1809.7685089732527,-15.06309839270264,stop_loss,0.5243988
581,582,long,594.7,574.1,12.172648454503127,-250.7565581627647,1559.011950810488,-50.15131163255294,stop_loss,0.528236
582,583,long,574.1,567.2,10.862302391990859,-74.94988650473668,1484.0620643057514,-14.989977300947336,stop_loss,0.5279866
583,586,long,567.2,576.2,10.465881976768344,94.1929377909151,1578.2550020966664,18.838587558183022,take_profit,0.5279866
586,590,long,576.2,589.6,10.956299910424619,146.81441879968963,1725.069420896356,29.362883759937926,take_profit,0.528236
590,594,long,589.6,599.7,11.703320358862658,118.20353562451312,1843.272956520869,23.640707124902622,take_profit,0.529114
594,595,long,599.7,591.1,12.294633693652617,-105.73384976541278,1737.5391067554563,-21.146769953082554,stop_loss,0.5287747
595,596,long,591.1,580.7,11.758004444293393,-122.28324622065102,1615.2558605348052,-24.456649244130205,stop_loss,0.5254398
596,598,long,580.7,591.2,11.12626733621357,116.82580703024247,1732.0816675650476,23.365161406048497,take_profit,0.52800614
598,601,long,591.2,603.6,11.719091120196532,145.31672989043673,1877.3983974554844,29.063345978087344,take_profit,0.52309763
601,603,long,603.6,616.7,12.441341268757352,162.98157062072158,2040.379968076206,32.596314124144314,take_profit,0.5278949
603,605,long,616.7,626.9,13.234181729049494,134.98865363630395,2175.36862171251,26.997730727260787,take_profit,0.5243988
605,608,long,626.9,615.7,13.880163481974861,-155.4578309981175,2019.9107907143925,-31.0915661996235,stop_loss,0.5247691
608,609,long,615.7,634.7,13.122694758579778,249.33120041301578,2269.2419911274083,49.866240082603156,take_profit,0.5279866
609,610,long,634.7,628.2,14.30119420909033,-92.95776235908714,2176.284228768321,-18.591552471817426,stop_loss,0.5270449
610,612,long,628.2,620.7,13.857269842523534,-103.92952381892651,2072.3547049493945,-20.7859047637853,stop_loss,0.53080297
612,619,long,620.7,640.5,13.354952182693053,264.42805321732186,2336.7827581667166,52.885610643464375,take_profit,0.53080297
619,626,long,640.5,630.7,14.593491073640697,-143.01621252167817,2193.7665456450386,-28.603242504335636,stop_loss,0.5287747
626,628,long,630.7,624.6,13.913217349897185,-84.87062583437314,2108.8959198106654,-16.97412516687463,stop_loss,0.52800614
